module,scope,scenario,avgtime_ms,firsttime_ms
planning,delauney,10points,0.00463185,0.03029
planning,delauney,100points,0.17392,0.201601
planning,delauney,250points,0.964075,1.02391
planning,delauney,250randomgenpoints,1.43438,1.44852
planning,outliers,100points_0outliers,0.837009,0.865253
planning,outliers,250points_2outliers,10.5539,10.5104
planning,outliers,250points_10outliers,10.8973,11.2524
planning,outliers,250points_25outliers,10.6345,10.761
planning,outliers,250points_50outliers,10.7341,10.8059
control,path_processing,10 points,8.04244,-
control,pid,callback,0.50341,0.532
control,pid,callback+node,21.32204,9.081
control,mpc,otimization_step-10ph,91.66747,90.526
control,mpc,callback-10ph,100.1687,148.504
control,mpc,callback+node-10ph,108.54174,190.718
control,mpc,otimization_step-20ph,182.45377,204.3
control,mpc,callback-20ph,204.50503,263.18
control,mpc,callback+node-20ph,212.77975,304.584